setting,project,top_k,ground_truth,n_test_issues,frac_bug_mean,frac_bug_majority,frac_bug_p25,frac_bug_p75
project_specific,dart-lang_sdk,3,question,100,0.37,0.37,0.0,0.6666666666666666
project_specific,dart-lang_sdk,9,bug,100,0.65,0.79,0.5555555555555556,0.7777777777777778
project_specific,dart-lang_sdk,9,feature,100,0.32888888888888895,0.15,0.2222222222222222,0.4444444444444444
project_specific,dart-lang_sdk,9,question,100,0.36333333333333334,0.25,0.2222222222222222,0.4722222222222222
project_specific,dart-lang_sdk,30,bug,100,0.607,0.82,0.5333333333333333,0.6666666666666666
project_specific,dart-lang_sdk,30,feature,100,0.34900000000000003,0.07,0.26666666666666666,0.43333333333333335
project_specific,dart-lang_sdk,30,question,100,0.4146666666666667,0.27,0.3,0.5333333333333333
project_specific,dotnet_roslyn,3,bug,100,0.4933333333333334,0.48,0.3333333333333333,0.6666666666666666
project_specific,dotnet_roslyn,3,feature,100,0.20999999999999996,0.16,0.0,0.3333333333333333
project_specific,dotnet_roslyn,3,question,100,0.41666666666666663,0.41,0.0,0.6666666666666666
project_specific,dotnet_roslyn,9,bug,100,0.5366666666666666,0.62,0.3333333333333333,0.6666666666666666
project_specific,dotnet_roslyn,9,feature,100,0.23111111111111107,0.1,0.1111111111111111,0.3333333333333333
project_specific,dotnet_roslyn,9,question,100,0.4266666666666668,0.41,0.2222222222222222,0.5833333333333334
project_specific,dotnet_roslyn,30,bug,100,0.5066666666666666,0.49,0.43333333333333335,0.6
project_specific,dotnet_roslyn,30,feature,100,0.27166666666666667,0.07,0.13333333333333333,0.375
project_specific,dotnet_roslyn,30,question,100,0.4543333333333333,0.39,0.3333333333333333,0.5666666666666667
project_specific,facebook_react,3,bug,100,0.92,0.93,1.0,1.0
project_specific,facebook_react,3,feature,100,0.19333333333333333,0.16,0.0,0.3333333333333333
project_specific,facebook_react,3,question,100,0.27,0.24,0.0,0.3333333333333333
project_specific,facebook_react,9,bug,100,0.921111111111111,0.92,1.0,1.0
project_specific,facebook_react,9,feature,100,0.2288888888888889,0.16,0.0,0.3333333333333333
project_specific,facebook_react,9,question,100,0.27888888888888885,0.24,0.0,0.4444444444444444
project_specific,facebook_react,30,bug,100,0.9096666666666667,0.9,1.0,1.0
project_specific,facebook_react,30,feature,100,0.24966666666666665,0.14,0.06666666666666667,0.36666666666666664
project_specific,facebook_react,30,question,100,0.31233333333333335,0.25,0.1,0.5083333333333333
project_specific,flutter_flutter,3,bug,100,0.7366666666666667,0.79,0.6666666666666666,1.0
project_specific,flutter_flutter,3,feature,100,0.34666666666666673,0.3,0.0,0.6666666666666666
project_specific,flutter_flutter,3,question,100,0.39000000000000007,0.37,0.0,0.6666666666666666
project_specific,flutter_flutter,9,bug,100,0.7277777777777779,0.86,0.6666666666666666,0.8888888888888888
project_specific,flutter_flutter,9,feature,100,0.41,0.35,0.2222222222222222,0.5833333333333334
project_specific,flutter_flutter,9,question,100,0.39777777777777784,0.34,0.2222222222222222,0.5555555555555556
project_specific,flutter_flutter,30,bug,100,0.7063333333333334,0.91,0.6333333333333333,0.8
project_specific,flutter_flutter,30,feature,100,0.44999999999999996,0.29,0.3333333333333333,0.5333333333333333
project_specific,flutter_flutter,30,question,100,0.43433333333333335,0.3,0.3333333333333333,0.5333333333333333
