model,approach,setting,project,k_label,k,f1_macro,accuracy,f1_bug,f1_feature,f1_question,precision_bug,recall_bug,precision_feature,recall_feature,precision_question,recall_question,invalid_rate,source
Qwen-32B,ft,project_specific,flutter_flutter,finetune_fixed,,0.7586,0.7633,0.7009,0.8597,0.7152,0.6579,0.75,0.7851,0.95,0.9077,0.59,0.0,eval_csv
Qwen-32B,ft,project_specific,kubernetes_kubernetes,finetune_fixed,,0.662,0.6767,0.5028,0.8017,0.6816,0.5696,0.45,0.6831,0.97,0.7722,0.61,0.0,eval_csv
Qwen-32B,ft,project_specific,microsoft_TypeScript,finetune_fixed,,0.6037,0.6067,0.5,0.7292,0.582,0.6406,0.41,0.7609,0.7,0.4931,0.71,0.0,eval_csv
Qwen-32B,ft,project_specific,microsoft_vscode,finetune_fixed,,0.5859,0.6133,0.6167,0.758,0.383,0.5286,0.74,0.6975,0.83,0.6585,0.27,0.0,eval_csv
Qwen-32B,ft,project_specific,opencv_opencv,finetune_fixed,,0.6313,0.6367,0.5189,0.7155,0.6593,0.5647,0.48,0.6288,0.83,0.7317,0.6,0.0033,eval_csv
Qwen-32B,ft,project_specific,tensorflow_tensorflow,finetune_fixed,,0.7923,0.7967,0.8858,0.7789,0.712,0.8151,0.97,0.8222,0.74,0.7473,0.68,0.0,eval_csv
Qwen-3B,ft,agnostic,ansible_ansible,finetune_fixed,,0.6243,0.6867,0.7237,0.8727,0.2764,0.5924,0.93,0.8,0.96,0.7391,0.17,0.0,derived_from_predictions
Qwen-3B,ft,agnostic,bitcoin_bitcoin,finetune_fixed,,0.6512,0.6633,0.7059,0.7692,0.4785,0.5806,0.9,0.8537,0.7,0.619,0.39,0.0,derived_from_predictions
Qwen-3B,ft,agnostic,dart-lang_sdk,finetune_fixed,,0.7399,0.74,0.7393,0.7262,0.7543,0.6051,0.95,0.8971,0.61,0.88,0.66,0.0,derived_from_predictions
Qwen-3B,ft,agnostic,dotnet_roslyn,finetune_fixed,,0.5607,0.5867,0.6503,0.6936,0.3382,0.5,0.93,0.8219,0.6,0.6389,0.23,0.0167,derived_from_predictions
Qwen-3B,ft,agnostic,facebook_react,finetune_fixed,,0.7344,0.74,0.7778,0.7356,0.6897,0.6447,0.98,0.8649,0.64,0.8108,0.6,0.0,derived_from_predictions
Qwen-3B,ft,agnostic,flutter_flutter,finetune_fixed,,0.668,0.6767,0.7194,0.7692,0.5153,0.5948,0.91,0.8537,0.7,0.6667,0.42,0.0067,derived_from_predictions
Qwen-3B,ft,agnostic,kubernetes_kubernetes,finetune_fixed,,0.719,0.7167,0.6923,0.8343,0.6303,0.5625,0.9,0.9733,0.73,0.8,0.52,0.0,derived_from_predictions
Qwen-3B,ft,agnostic,microsoft_TypeScript,finetune_fixed,,0.4964,0.5367,0.6242,0.5621,0.303,0.4579,0.98,0.8113,0.43,0.625,0.2,0.0033,derived_from_predictions
Qwen-3B,ft,agnostic,microsoft_vscode,finetune_fixed,,0.5403,0.5867,0.6418,0.7379,0.2414,0.5119,0.86,0.717,0.76,0.875,0.14,0.0333,derived_from_predictions
Qwen-3B,ft,agnostic,opencv_opencv,finetune_fixed,,0.6481,0.6633,0.679,0.7826,0.4828,0.538,0.92,0.8571,0.72,0.7778,0.35,0.0,derived_from_predictions
Qwen-3B,ft,agnostic,tensorflow_tensorflow,finetune_fixed,,0.6895,0.6967,0.7642,0.671,0.6332,0.6438,0.94,0.9455,0.52,0.6364,0.63,0.0,derived_from_predictions
Qwen-3B,ft,project_specific,ansible_ansible,finetune_fixed,,0.7662,0.7633,0.7725,0.7854,0.7407,0.8202,0.73,0.7227,0.86,0.7865,0.7,0.01,eval_csv
Qwen-3B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,,0.5418,0.5533,0.6452,0.6507,0.3294,0.5983,0.7,0.6239,0.68,0.4,0.28,0.0133,eval_csv
Qwen-3B,ft,project_specific,dart-lang_sdk,finetune_fixed,,0.6168,0.63,0.7236,0.6403,0.4865,0.7273,0.72,0.5294,0.81,0.75,0.36,0.0,eval_csv
Qwen-3B,ft,project_specific,dotnet_roslyn,finetune_fixed,,0.5071,0.5067,0.5616,0.5657,0.3939,0.5534,0.57,0.5714,0.56,0.398,0.39,0.0033,eval_csv
Qwen-3B,ft,project_specific,facebook_react,finetune_fixed,,0.77,0.7767,0.8201,0.7958,0.6941,0.705,0.98,0.8352,0.76,0.8429,0.59,0.0,eval_csv
Qwen-3B,ft,project_specific,flutter_flutter,finetune_fixed,,0.59,0.61,0.6726,0.713,0.3846,0.6032,0.76,0.6638,0.77,0.5357,0.3,0.0067,eval_csv
Qwen-3B,ft,project_specific,kubernetes_kubernetes,finetune_fixed,,0.5933,0.5633,0.5462,0.7273,0.5063,0.471,0.65,0.8421,0.64,0.6897,0.4,0.0933,eval_csv
Qwen-3B,ft,project_specific,microsoft_TypeScript,finetune_fixed,,0.4117,0.4433,0.5655,0.3759,0.2938,0.4316,0.82,0.7576,0.25,0.3377,0.26,0.0,eval_csv
Qwen-3B,ft,project_specific,microsoft_vscode,finetune_fixed,,0.4174,0.45,0.5455,0.623,0.0839,0.439,0.72,0.6867,0.57,0.1395,0.06,0.0333,eval_csv
Qwen-3B,ft,project_specific,opencv_opencv,finetune_fixed,,0.5353,0.5367,0.582,0.6703,0.3537,0.4931,0.71,0.7439,0.61,0.4531,0.29,0.0333,eval_csv
Qwen-3B,ft,project_specific,tensorflow_tensorflow,finetune_fixed,,0.5801,0.6033,0.6926,0.6667,0.381,0.5355,0.98,0.8462,0.55,0.5957,0.28,0.0167,eval_csv
Qwen-7B,ft,agnostic,ansible_ansible,finetune_fixed,,0.7337,0.76,0.7837,0.8785,0.539,0.6621,0.96,0.8246,0.94,0.9268,0.38,0.0,derived_from_predictions
Qwen-7B,ft,agnostic,bitcoin_bitcoin,finetune_fixed,,0.7219,0.72,0.7282,0.8168,0.6207,0.7075,0.75,0.8571,0.78,0.6117,0.63,0.0,derived_from_predictions
Qwen-7B,ft,agnostic,dart-lang_sdk,finetune_fixed,,0.8637,0.8633,0.8559,0.8617,0.8737,0.7787,0.95,0.9205,0.81,0.9222,0.83,0.0,derived_from_predictions
Qwen-7B,ft,agnostic,dotnet_roslyn,finetune_fixed,,0.6579,0.6633,0.661,0.7857,0.5269,0.5735,0.78,0.8021,0.77,0.6567,0.44,0.0033,derived_from_predictions
Qwen-7B,ft,agnostic,facebook_react,finetune_fixed,,0.6983,0.6933,0.6022,0.8556,0.6372,0.6512,0.56,0.9195,0.8,0.5714,0.72,0.0033,derived_from_predictions
Qwen-7B,ft,agnostic,flutter_flutter,finetune_fixed,,0.7376,0.74,0.6732,0.8835,0.6561,0.6571,0.69,0.8585,0.91,0.6966,0.62,0.0,derived_from_predictions
Qwen-7B,ft,agnostic,kubernetes_kubernetes,finetune_fixed,,0.8629,0.8633,0.8177,0.936,0.8351,0.8058,0.83,0.9223,0.95,0.8617,0.81,0.0,derived_from_predictions
Qwen-7B,ft,agnostic,microsoft_TypeScript,finetune_fixed,,0.628,0.6433,0.6824,0.732,0.4698,0.5613,0.87,0.7553,0.71,0.7143,0.35,0.0067,derived_from_predictions
Qwen-7B,ft,agnostic,microsoft_vscode,finetune_fixed,,0.7067,0.7133,0.7193,0.7788,0.622,0.6406,0.82,0.75,0.81,0.7969,0.51,0.0,derived_from_predictions
Qwen-7B,ft,agnostic,opencv_opencv,finetune_fixed,,0.7372,0.7367,0.7143,0.8205,0.6769,0.6818,0.75,0.8421,0.8,0.6947,0.66,0.0,derived_from_predictions
Qwen-7B,ft,agnostic,tensorflow_tensorflow,finetune_fixed,,0.757,0.7567,0.8254,0.7125,0.7331,0.8764,0.78,0.95,0.57,0.6093,0.92,0.0,derived_from_predictions
Qwen-7B,ft,project_specific,ansible_ansible,finetune_fixed,,0.6871,0.6833,0.6981,0.8131,0.55,0.6607,0.74,0.7632,0.87,0.7333,0.44,0.0467,eval_csv
Qwen-7B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,,0.5198,0.53,0.6058,0.6087,0.3448,0.5177,0.73,0.6667,0.56,0.4054,0.3,0.0033,eval_csv
Qwen-7B,ft,project_specific,dart-lang_sdk,finetune_fixed,,0.6944,0.6833,0.7411,0.7525,0.5897,0.6694,0.83,0.7451,0.76,0.8214,0.46,0.06,eval_csv
Qwen-7B,ft,project_specific,dotnet_roslyn,finetune_fixed,,0.5115,0.51,0.5294,0.6243,0.381,0.4565,0.63,0.7397,0.54,0.4045,0.36,0.0,eval_csv
Qwen-7B,ft,project_specific,facebook_react,finetune_fixed,,0.4889,0.5,0.2436,0.7708,0.4524,0.3393,0.19,0.8043,0.74,0.375,0.57,0.0,eval_csv
Qwen-7B,ft,project_specific,flutter_flutter,finetune_fixed,,0.5882,0.61,0.4824,0.757,0.5251,0.5857,0.41,0.6291,0.95,0.5949,0.47,0.0,eval_csv
Qwen-7B,ft,project_specific,kubernetes_kubernetes,finetune_fixed,,0.453,0.4767,0.5115,0.5143,0.3333,0.3805,0.78,0.6,0.45,1.0,0.2,0.0,eval_csv
Qwen-7B,ft,project_specific,microsoft_TypeScript,finetune_fixed,,0.3212,0.35,0.4672,0.319,0.1774,0.3958,0.57,0.2803,0.37,0.4583,0.11,0.0,eval_csv
Qwen-7B,ft,project_specific,microsoft_vscode,finetune_fixed,,0.5127,0.5633,0.609,0.7212,0.208,0.488,0.81,0.6944,0.75,0.52,0.13,0.0033,eval_csv
Qwen-7B,ft,project_specific,opencv_opencv,finetune_fixed,,0.389,0.4133,0.3529,0.5224,0.2917,0.3793,0.33,0.4167,0.7,0.4773,0.21,0.0033,eval_csv
Qwen-7B,ft,project_specific,tensorflow_tensorflow,finetune_fixed,,0.459,0.4733,0.3038,0.5255,0.5476,0.4138,0.24,0.4138,0.72,0.6765,0.46,0.0,eval_csv
,vtag,agnostic,ansible_ansible,k1,1.0,0.6198,0.6333,0.6926,0.6636,0.5032,0.6107,0.8,0.6228,0.71,0.7091,0.39,0.0,derived_from_predictions
,vtag,agnostic,bitcoin_bitcoin,k14,14.0,0.6341,0.6333,0.6266,0.7104,0.5652,0.5489,0.73,0.7831,0.65,0.619,0.52,0.0,derived_from_predictions
,vtag,agnostic,dart-lang_sdk,k14,14.0,0.6326,0.6467,0.7023,0.6559,0.5395,0.5679,0.92,0.7093,0.61,0.7885,0.41,0.0,derived_from_predictions
,vtag,agnostic,dotnet_roslyn,k16,16.0,0.5418,0.5433,0.5751,0.674,0.3763,0.5038,0.67,0.7531,0.61,0.407,0.35,0.0,derived_from_predictions
,vtag,agnostic,facebook_react,k30,30.0,0.635,0.65,0.7833,0.5576,0.5641,0.6714,0.94,0.7077,0.46,0.5789,0.55,0.0,derived_from_predictions
,vtag,agnostic,flutter_flutter,k1,1.0,0.579,0.5833,0.6311,0.5949,0.5111,0.568,0.71,0.6105,0.58,0.575,0.46,0.0,derived_from_predictions
,vtag,agnostic,kubernetes_kubernetes,k14,14.0,0.7352,0.74,0.655,0.7586,0.7919,0.7887,0.56,0.6667,0.88,0.8041,0.78,0.0,derived_from_predictions
,vtag,agnostic,microsoft_TypeScript,k7,7.0,0.5609,0.5633,0.4898,0.6734,0.5197,0.766,0.36,0.6768,0.67,0.4286,0.66,0.0,derived_from_predictions
,vtag,agnostic,microsoft_vscode,k20,20.0,0.6704,0.6733,0.6636,0.6279,0.7196,0.6228,0.71,0.75,0.54,0.6754,0.77,0.0,derived_from_predictions
,vtag,agnostic,opencv_opencv,k13,13.0,0.6429,0.6433,0.6396,0.6257,0.6633,0.582,0.71,0.7089,0.56,0.6667,0.66,0.0,derived_from_predictions
,vtag,agnostic,tensorflow_tensorflow,k4,4.0,0.4989,0.5333,0.6416,0.3944,0.4606,0.487,0.94,0.6667,0.28,0.5846,0.38,0.0,derived_from_predictions
,vtag,project_specific,ansible_ansible,k3,3.0,0.5926,0.6067,0.6468,0.6573,0.4737,0.563,0.76,0.6195,0.7,0.6923,0.36,0.0,eval_csv
,vtag,project_specific,bitcoin_bitcoin,k13,13.0,0.5967,0.5967,0.6109,0.6474,0.5319,0.5252,0.73,0.7671,0.56,0.5682,0.5,0.0,eval_csv
,vtag,project_specific,dart-lang_sdk,k9,9.0,0.6239,0.6367,0.7012,0.6387,0.5316,0.5828,0.88,0.6703,0.61,0.7241,0.42,0.0,eval_csv
,vtag,project_specific,dotnet_roslyn,k15,15.0,0.5362,0.5433,0.5892,0.6557,0.3636,0.5035,0.71,0.7229,0.6,0.4211,0.32,0.0,eval_csv
,vtag,project_specific,facebook_react,k18,18.0,0.6107,0.6267,0.7764,0.5185,0.5373,0.6715,0.92,0.6774,0.42,0.5347,0.54,0.0,eval_csv
,vtag,project_specific,flutter_flutter,k5,5.0,0.58,0.5933,0.6566,0.5604,0.5229,0.5273,0.87,0.622,0.51,0.7547,0.4,0.0,eval_csv
,vtag,project_specific,kubernetes_kubernetes,k14,14.0,0.7319,0.7367,0.6548,0.7489,0.7919,0.8088,0.55,0.6519,0.88,0.8041,0.78,0.0,eval_csv
,vtag,project_specific,microsoft_TypeScript,k30,30.0,0.5592,0.57,0.4265,0.7016,0.5495,0.8056,0.29,0.7363,0.67,0.4335,0.75,0.0,eval_csv
,vtag,project_specific,microsoft_vscode,k14,14.0,0.6485,0.6533,0.6184,0.6071,0.72,0.5981,0.64,0.75,0.51,0.648,0.81,0.0,eval_csv
,vtag,project_specific,opencv_opencv,k30,30.0,0.6354,0.64,0.5385,0.6473,0.7204,0.5976,0.49,0.6262,0.67,0.6847,0.76,0.0,eval_csv
,vtag,project_specific,tensorflow_tensorflow,k4,4.0,0.5072,0.54,0.646,0.4056,0.4699,0.4921,0.94,0.6744,0.29,0.5909,0.39,0.0,eval_csv
,vtag_debias,agnostic,ansible_ansible,k1,1.0,0.6198,0.6333,0.6926,0.6636,0.5032,0.6107,0.8,0.6228,0.71,0.7091,0.39,0.0,derived_from_predictions
,vtag_debias,agnostic,bitcoin_bitcoin,k9,9.0,0.6224,0.63,0.5031,0.75,0.6141,0.678,0.4,0.75,0.75,0.5248,0.74,0.0,derived_from_predictions
,vtag_debias,agnostic,dart-lang_sdk,k9,9.0,0.6369,0.6367,0.6735,0.6373,0.6,0.6875,0.66,0.625,0.65,0.6,0.6,0.0,derived_from_predictions
,vtag_debias,agnostic,dotnet_roslyn,k1,1.0,0.4952,0.4967,0.4977,0.56,0.4278,0.469,0.53,0.56,0.56,0.4598,0.4,0.0,derived_from_predictions
,vtag_debias,agnostic,facebook_react,k3,3.0,0.6466,0.6533,0.8365,0.5176,0.5856,0.8056,0.87,0.6286,0.44,0.5328,0.65,0.0,derived_from_predictions
,vtag_debias,agnostic,flutter_flutter,k9,9.0,0.6223,0.6233,0.6796,0.6131,0.5744,0.6604,0.7,0.6162,0.61,0.5895,0.56,0.0,derived_from_predictions
,vtag_debias,agnostic,kubernetes_kubernetes,k9,9.0,0.7188,0.7267,0.6211,0.7373,0.798,0.8197,0.5,0.6397,0.87,0.7864,0.81,0.0,derived_from_predictions
,vtag_debias,agnostic,microsoft_TypeScript,k1,1.0,0.5113,0.5167,0.4444,0.5854,0.5041,0.6415,0.34,0.5714,0.6,0.4296,0.61,0.0,derived_from_predictions
,vtag_debias,agnostic,microsoft_vscode,k1,1.0,0.5725,0.58,0.5274,0.5116,0.6784,0.5248,0.53,0.6111,0.44,0.6063,0.77,0.0,derived_from_predictions
,vtag_debias,agnostic,opencv_opencv,k9,9.0,0.6028,0.6133,0.5,0.6054,0.7029,0.5789,0.44,0.6588,0.56,0.6043,0.84,0.0,derived_from_predictions
,vtag_debias,agnostic,tensorflow_tensorflow,k9,9.0,0.573,0.59,0.692,0.4595,0.5674,0.5985,0.82,0.7083,0.34,0.5304,0.61,0.0,derived_from_predictions
,vtag_debias,project_specific,ansible_ansible,k1,1.0,0.591,0.6067,0.658,0.6514,0.4636,0.5802,0.76,0.6017,0.71,0.6863,0.35,0.0,eval_csv
,vtag_debias,project_specific,bitcoin_bitcoin,k9,9.0,0.5782,0.5867,0.4472,0.7005,0.5868,0.5902,0.36,0.7113,0.69,0.5,0.71,0.0,eval_csv
,vtag_debias,project_specific,dart-lang_sdk,k9,9.0,0.6337,0.6333,0.6845,0.6422,0.5744,0.7356,0.64,0.5932,0.7,0.5895,0.56,0.0,eval_csv
,vtag_debias,project_specific,dotnet_roslyn,k9,9.0,0.526,0.5267,0.4634,0.64,0.4746,0.5938,0.38,0.64,0.64,0.4118,0.56,0.0,eval_csv
,vtag_debias,project_specific,facebook_react,k3,3.0,0.6333,0.64,0.8365,0.4971,0.5662,0.8056,0.87,0.589,0.43,0.521,0.62,0.0,eval_csv
,vtag_debias,project_specific,flutter_flutter,k9,9.0,0.614,0.6167,0.6758,0.5729,0.5934,0.6218,0.74,0.5758,0.57,0.6585,0.54,0.0,eval_csv
,vtag_debias,project_specific,kubernetes_kubernetes,k9,9.0,0.7149,0.7233,0.6125,0.7342,0.798,0.8167,0.49,0.635,0.87,0.7864,0.81,0.0,eval_csv
,vtag_debias,project_specific,microsoft_TypeScript,k1,1.0,0.5143,0.52,0.4474,0.5854,0.5103,0.6538,0.34,0.5714,0.6,0.4336,0.62,0.0,eval_csv
,vtag_debias,project_specific,microsoft_vscode,k1,1.0,0.5774,0.5867,0.5279,0.5146,0.6897,0.5361,0.52,0.6197,0.44,0.6061,0.8,0.0,eval_csv
,vtag_debias,project_specific,opencv_opencv,k9,9.0,0.6031,0.6133,0.5114,0.5978,0.7,0.5921,0.45,0.6548,0.55,0.6,0.84,0.0,eval_csv
,vtag_debias,project_specific,tensorflow_tensorflow,k9,9.0,0.5794,0.5967,0.6949,0.4626,0.5806,0.6029,0.82,0.7234,0.34,0.5385,0.63,0.0,eval_csv
Qwen-32B,ragtag,project_specific,ansible_ansible,zero_shot,0.0,0.5907,0.6567,0.8,0.7266,0.2456,0.7478,0.86,0.5808,0.97,1.0,0.14,0.0133,eval_csv
Qwen-32B,ragtag,project_specific,bitcoin_bitcoin,zero_shot,0.0,0.6614,0.69,0.6939,0.8505,0.4397,0.5862,0.85,0.7982,0.91,0.7561,0.31,0.0,eval_csv
Qwen-32B,ragtag,project_specific,dart-lang_sdk,zero_shot,0.0,0.8336,0.8333,0.8142,0.8821,0.8045,0.7302,0.92,0.9053,0.86,0.9114,0.72,0.0,eval_csv
Qwen-32B,ragtag,project_specific,dotnet_roslyn,zero_shot,0.0,0.6101,0.64,0.6426,0.7907,0.3971,0.5369,0.8,0.7391,0.85,0.75,0.27,0.0,eval_csv
Qwen-32B,ragtag,project_specific,facebook_react,zero_shot,0.0,0.7945,0.8,0.8099,0.8705,0.703,0.6901,0.98,0.9032,0.84,0.8923,0.58,0.0,eval_csv
Qwen-32B,ragtag,project_specific,flutter_flutter,zero_shot,0.0,0.7409,0.75,0.7193,0.8455,0.6579,0.6406,0.82,0.775,0.93,0.9615,0.5,0.0,eval_csv
Qwen-32B,ragtag,project_specific,kubernetes_kubernetes,zero_shot,0.0,0.7097,0.72,0.6516,0.8509,0.6267,0.595,0.72,0.7578,0.97,0.94,0.47,0.0033,eval_csv
Qwen-32B,ragtag,project_specific,microsoft_TypeScript,zero_shot,0.0,0.5962,0.64,0.6835,0.7638,0.3415,0.5337,0.95,0.7677,0.76,0.913,0.21,0.0,eval_csv
Qwen-32B,ragtag,project_specific,microsoft_vscode,zero_shot,0.0,0.5149,0.5833,0.6165,0.7511,0.177,0.494,0.82,0.686,0.83,0.7692,0.1,0.0,eval_csv
Qwen-32B,ragtag,project_specific,opencv_opencv,zero_shot,0.0,0.6719,0.6867,0.6638,0.8186,0.5333,0.5778,0.78,0.7652,0.88,0.8,0.4,0.0,eval_csv
Qwen-32B,ragtag,project_specific,tensorflow_tensorflow,zero_shot,0.0,0.7568,0.76,0.7886,0.838,0.6437,0.6644,0.97,0.9494,0.75,0.7568,0.56,0.0033,eval_csv
Qwen-14B,ragtag,agnostic,ansible_ansible,zero_shot,0.0,0.5674,0.6467,0.7598,0.7442,0.1982,0.6744,0.87,0.6076,0.96,1.0,0.11,0.0067,derived_from_predictions
Qwen-14B,ragtag,agnostic,bitcoin_bitcoin,zero_shot,0.0,0.6324,0.68,0.6917,0.8667,0.3387,0.5542,0.92,0.8273,0.91,0.875,0.21,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,dart-lang_sdk,zero_shot,0.0,0.7707,0.7733,0.7654,0.8351,0.7117,0.6503,0.93,0.8617,0.81,0.9206,0.58,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,dotnet_roslyn,zero_shot,0.0,0.5839,0.6333,0.654,0.8075,0.2903,0.5276,0.86,0.7611,0.86,0.75,0.18,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,facebook_react,zero_shot,0.0,0.7594,0.77,0.7747,0.8718,0.6316,0.6405,0.98,0.8947,0.85,0.9231,0.48,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,flutter_flutter,zero_shot,0.0,0.7165,0.73,0.7009,0.8416,0.6069,0.6119,0.82,0.7686,0.93,0.9778,0.44,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,kubernetes_kubernetes,zero_shot,0.0,0.6331,0.6567,0.5862,0.8205,0.4925,0.5152,0.68,0.7164,0.96,0.9706,0.33,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,microsoft_TypeScript,zero_shot,0.0,0.5431,0.61,0.6713,0.7437,0.2143,0.5132,0.97,0.7475,0.74,1.0,0.12,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,microsoft_vscode,zero_shot,0.0,0.4997,0.5733,0.6176,0.7373,0.1441,0.4884,0.84,0.6838,0.8,0.7273,0.08,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,opencv_opencv,zero_shot,0.0,0.6082,0.6333,0.6245,0.7943,0.4058,0.5163,0.79,0.7615,0.83,0.7368,0.28,0.0,derived_from_predictions
Qwen-14B,ragtag,agnostic,tensorflow_tensorflow,zero_shot,0.0,0.7051,0.72,0.7597,0.8172,0.5385,0.6203,0.98,0.8837,0.76,0.75,0.42,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,ansible_ansible,zero_shot,0.0,0.5907,0.6567,0.8,0.7266,0.2456,0.7478,0.86,0.5808,0.97,1.0,0.14,0.0133,derived_from_predictions
Qwen-32B,ragtag,agnostic,bitcoin_bitcoin,zero_shot,0.0,0.6672,0.6967,0.702,0.8598,0.4397,0.5931,0.86,0.807,0.92,0.7561,0.31,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,dart-lang_sdk,zero_shot,0.0,0.8298,0.83,0.8142,0.8776,0.7978,0.7302,0.92,0.8958,0.86,0.9103,0.71,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,dotnet_roslyn,zero_shot,0.0,0.6101,0.64,0.6426,0.7907,0.3971,0.5369,0.8,0.7391,0.85,0.75,0.27,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,facebook_react,zero_shot,0.0,0.7945,0.8,0.8099,0.8705,0.703,0.6901,0.98,0.9032,0.84,0.8923,0.58,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,flutter_flutter,zero_shot,0.0,0.7377,0.7467,0.7137,0.8416,0.6579,0.6378,0.81,0.7686,0.93,0.9615,0.5,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,kubernetes_kubernetes,zero_shot,0.0,0.7097,0.72,0.6516,0.8509,0.6267,0.595,0.72,0.7578,0.97,0.94,0.47,0.0033,derived_from_predictions
Qwen-32B,ragtag,agnostic,microsoft_TypeScript,zero_shot,0.0,0.5962,0.64,0.6835,0.7638,0.3415,0.5337,0.95,0.7677,0.76,0.913,0.21,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,microsoft_vscode,zero_shot,0.0,0.5149,0.5833,0.6165,0.7511,0.177,0.494,0.82,0.686,0.83,0.7692,0.1,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,opencv_opencv,zero_shot,0.0,0.6764,0.69,0.6638,0.8224,0.543,0.5778,0.78,0.7719,0.88,0.8039,0.41,0.0,derived_from_predictions
Qwen-32B,ragtag,agnostic,tensorflow_tensorflow,zero_shot,0.0,0.7563,0.76,0.7918,0.8333,0.6437,0.669,0.97,0.9375,0.75,0.7568,0.56,0.0033,derived_from_predictions
Qwen-3B,ragtag,agnostic,ansible_ansible,zero_shot,0.0,0.7134,0.73,0.751,0.875,0.5143,0.6345,0.92,0.8426,0.91,0.9,0.36,0.0233,derived_from_predictions
Qwen-3B,ragtag,agnostic,bitcoin_bitcoin,zero_shot,0.0,0.5682,0.59,0.6963,0.6951,0.3133,0.5529,0.94,0.8906,0.57,0.3939,0.26,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,dart-lang_sdk,zero_shot,0.0,0.6994,0.7067,0.749,0.6623,0.6869,0.6225,0.94,0.9804,0.5,0.6939,0.68,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,dotnet_roslyn,zero_shot,0.0,0.5273,0.5467,0.6523,0.604,0.3256,0.5084,0.91,0.9184,0.45,0.3889,0.28,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,facebook_react,zero_shot,0.0,0.7207,0.7267,0.7634,0.7284,0.6705,0.6173,1.0,0.9516,0.59,0.7763,0.59,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,flutter_flutter,zero_shot,0.0,0.6807,0.69,0.6923,0.8172,0.5325,0.5625,0.9,0.8837,0.76,0.7593,0.41,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,kubernetes_kubernetes,zero_shot,0.0,0.6902,0.7,0.6586,0.9534,0.4586,0.5503,0.82,0.9892,0.92,0.6316,0.36,0.0033,derived_from_predictions
Qwen-3B,ragtag,agnostic,microsoft_TypeScript,zero_shot,0.0,0.5423,0.58,0.66,0.6748,0.292,0.495,0.99,0.873,0.55,0.5405,0.2,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,microsoft_vscode,zero_shot,0.0,0.4249,0.4567,0.5904,0.5476,0.1366,0.4678,0.8,0.6765,0.46,0.1803,0.11,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,opencv_opencv,zero_shot,0.0,0.5129,0.53,0.6204,0.5987,0.3195,0.4885,0.85,0.8246,0.47,0.3913,0.27,0.0,derived_from_predictions
Qwen-3B,ragtag,agnostic,tensorflow_tensorflow,zero_shot,0.0,0.6102,0.6267,0.6804,0.6795,0.4706,0.5183,0.99,0.9464,0.53,0.6792,0.36,0.0,derived_from_predictions
Qwen-7B,ragtag,agnostic,ansible_ansible,zero_shot,0.0,0.5897,0.6333,0.7222,0.7082,0.3387,0.6724,0.78,0.5796,0.91,0.875,0.21,0.01,derived_from_predictions
Qwen-7B,ragtag,agnostic,bitcoin_bitcoin,zero_shot,0.0,0.656,0.6767,0.7004,0.8438,0.4238,0.5732,0.9,0.8804,0.81,0.6275,0.32,0.0,derived_from_predictions
Qwen-7B,ragtag,agnostic,dart-lang_sdk,zero_shot,0.0,0.7811,0.78,0.7661,0.8152,0.7619,0.6419,0.95,0.8929,0.75,0.9412,0.64,0.0,derived_from_predictions
Qwen-7B,ragtag,agnostic,dotnet_roslyn,zero_shot,0.0,0.5812,0.62,0.6594,0.7812,0.303,0.517,0.91,0.8152,0.75,0.625,0.2,0.0,derived_from_predictions
Qwen-7B,ragtag,agnostic,facebook_react,zero_shot,0.0,0.7611,0.7633,0.7656,0.8268,0.6909,0.6282,0.98,0.9367,0.74,0.8769,0.57,0.0,derived_from_predictions
Qwen-7B,ragtag,agnostic,flutter_flutter,zero_shot,0.0,0.7281,0.74,0.719,0.8612,0.604,0.6127,0.87,0.8257,0.9,0.9184,0.45,0.0,derived_from_predictions
