setting,project,k_label,wall_time_s,issues_per_second,total_issues,total_prompt_tokens,total_generated_tokens,gpu_peak_memory_mb
project_specific,kubernetes_kubernetes,k20,0.0008,398445.6,300,0,0,0.0
project_specific,kubernetes_kubernetes,k25,0.0008,367169.9,300,0,0,0.0
project_specific,kubernetes_kubernetes,k30,0.001,294612.8,300,0,0,0.0
project_specific,microsoft_TypeScript,k1,0.0003,1040770.2,300,0,0,0.0
project_specific,microsoft_TypeScript,k2,0.0005,626327.1,300,0,0,0.0
project_specific,microsoft_TypeScript,k3,0.0005,578258.8,300,0,0,0.0
project_specific,microsoft_TypeScript,k4,0.0006,524069.6,300,0,0,0.0
project_specific,microsoft_TypeScript,k5,0.0006,534760.4,300,0,0,0.0
project_specific,microsoft_TypeScript,k6,0.0006,508195.2,300,0,0,0.0
project_specific,microsoft_TypeScript,k7,0.0006,512542.2,300,0,0,0.0
project_specific,microsoft_TypeScript,k8,0.0006,508400.5,300,0,0,0.0
project_specific,microsoft_TypeScript,k9,0.0006,508195.2,300,0,0,0.0
project_specific,microsoft_TypeScript,k10,0.0006,470917.4,300,0,0,0.0
project_specific,microsoft_TypeScript,k11,0.0007,445097.7,300,0,0,0.0
project_specific,microsoft_TypeScript,k12,0.0007,451000.4,300,0,0,0.0
project_specific,microsoft_TypeScript,k13,0.0007,425817.7,300,0,0,0.0
project_specific,microsoft_TypeScript,k14,0.0007,440115.8,300,0,0,0.0
project_specific,microsoft_TypeScript,k15,0.0007,434043.2,300,0,0,0.0
project_specific,microsoft_TypeScript,k16,0.0008,387763.1,300,0,0,0.0
project_specific,microsoft_TypeScript,k17,0.0008,393338.9,300,0,0,0.0
project_specific,microsoft_TypeScript,k18,0.0008,393708.1,300,0,0,0.0
project_specific,microsoft_TypeScript,k19,0.0007,408403.5,300,0,0,0.0
project_specific,microsoft_TypeScript,k20,0.0009,334474.0,300,0,0,0.0
project_specific,microsoft_TypeScript,k25,0.001,305040.3,300,0,0,0.0
project_specific,microsoft_TypeScript,k30,0.0011,285197.5,300,0,0,0.0
project_specific,microsoft_vscode,k1,0.0002,1299887.6,300,0,0,0.0
project_specific,microsoft_vscode,k2,0.0004,668592.6,300,0,0,0.0
project_specific,microsoft_vscode,k3,0.0005,577993.2,300,0,0,0.0
project_specific,microsoft_vscode,k4,0.0005,627576.7,300,0,0,0.0
project_specific,microsoft_vscode,k5,0.0005,559987.2,300,0,0,0.0
project_specific,microsoft_vscode,k6,0.0005,579590.6,300,0,0,0.0
