model,model_tag,setting,project,approach,k_label,k,used_v2,total_issues,invalid_count,invalid_rate,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_bug,precision_bug,recall_bug,support_bug,f1_feature,precision_feature,recall_feature,support_feature,f1_question,precision_question,recall_question,support_question,source_path,top_k
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k6,6.0,False,300.0,29.0,0.0967,0.7033,0.7317,0.8121,0.7033,0.7317,0.8121,0.7033,0.6602,0.6415,0.68,100.0,0.8638,0.8142,0.92,100.0,0.6711,0.9808,0.51,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k9,9.0,False,300.0,35.0,0.1167,0.6867,0.7222,0.8111,0.6867,0.7222,0.8111,0.6867,0.6471,0.6346,0.66,100.0,0.8571,0.8182,0.9,100.0,0.6623,0.9804,0.5,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k1,1.0,True,300.0,0.0,0.0,0.7367,0.7262,0.7848,0.7367,0.7262,0.7848,0.7367,0.6983,0.6136,0.81,100.0,0.8493,0.7815,0.93,100.0,0.6309,0.9592,0.47,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k3,3.0,True,300.0,0.0,0.0,0.7267,0.7139,0.7717,0.7267,0.7139,0.7717,0.7267,0.6957,0.6154,0.8,100.0,0.8378,0.7623,0.93,100.0,0.6081,0.9375,0.45,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k6,6.0,True,300.0,11.0,0.0367,0.76,0.7701,0.8249,0.76,0.7701,0.8249,0.76,0.7207,0.6557,0.8,100.0,0.8762,0.8364,0.92,100.0,0.7134,0.9825,0.56,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k9,9.0,True,300.0,25.0,0.0833,0.71,0.7364,0.7947,0.71,0.7364,0.7947,0.71,0.6699,0.6509,0.69,100.0,0.8517,0.8165,0.89,100.0,0.6875,0.9167,0.55,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ft,finetune_fixed,,False,300.0,0.0,0.0,0.7633,0.7586,0.7836,0.7633,0.7586,0.7836,0.7633,0.7009,0.6579,0.75,100.0,0.8597,0.7851,0.95,100.0,0.7152,0.9077,0.59,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k1,1.0,True,300.0,0.0,0.0,0.78,0.7761,0.8135,0.78,0.7761,0.8135,0.78,0.7434,0.6667,0.84,100.0,0.8598,0.807,0.92,100.0,0.725,0.9667,0.58,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k3,3.0,True,300.0,0.0,0.0,0.8067,0.8044,0.8342,0.8067,0.8044,0.8342,0.8067,0.7788,0.6984,0.88,100.0,0.8708,0.8349,0.91,100.0,0.7636,0.9692,0.63,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k6,6.0,True,300.0,29.0,0.0967,0.7433,0.7797,0.837,0.7433,0.7797,0.837,0.7433,0.7,0.7,0.7,100.0,0.8725,0.8558,0.89,100.0,0.7665,0.9552,0.64,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k9,9.0,True,300.0,35.0,0.1167,0.73,0.774,0.8346,0.73,0.774,0.8346,0.73,0.6872,0.7053,0.67,100.0,0.87,0.87,0.87,100.0,0.7647,0.9286,0.65,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k1,1.0,True,300.0,0.0,0.0,0.78,0.7764,0.8093,0.78,0.7764,0.8093,0.78,0.7411,0.6694,0.83,100.0,0.8598,0.807,0.92,100.0,0.7284,0.9516,0.59,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k3,3.0,True,300.0,0.0,0.0,0.7833,0.7806,0.8042,0.7833,0.7806,0.8042,0.7833,0.7489,0.6891,0.82,100.0,0.8505,0.7982,0.91,100.0,0.7425,0.9254,0.62,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k6,6.0,True,300.0,11.0,0.0367,0.78,0.7934,0.8256,0.78,0.7934,0.8256,0.78,0.7418,0.6991,0.79,100.0,0.8738,0.8491,0.9,100.0,0.7647,0.9286,0.65,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k9,9.0,True,300.0,25.0,0.0833,0.76,0.7925,0.8381,0.76,0.7925,0.8381,0.76,0.72,0.72,0.72,100.0,0.8713,0.8627,0.88,100.0,0.7861,0.9315,0.68,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,zero_shot,0.0,True,300.0,0.0,0.0,0.75,0.7409,0.7924,0.75,0.7409,0.7924,0.75,0.7193,0.6406,0.82,100.0,0.8455,0.775,0.93,100.0,0.6579,0.9615,0.5,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_zero_shot.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ft,finetune_fixed,,False,300.0,2.0,0.0067,0.61,0.59,0.6009,0.61,0.59,0.6009,0.61,0.6726,0.6032,0.76,100.0,0.713,0.6638,0.77,100.0,0.3846,0.5357,0.3,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k1,1.0,False,300.0,0.0,0.0,0.7067,0.6974,0.7116,0.7067,0.6974,0.7116,0.7067,0.6944,0.6466,0.75,100.0,0.8073,0.7458,0.88,100.0,0.5904,0.7424,0.49,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k3,3.0,False,300.0,0.0,0.0,0.7067,0.6936,0.7232,0.7067,0.6936,0.7232,0.7067,0.6953,0.609,0.81,100.0,0.8341,0.7928,0.88,100.0,0.5513,0.7679,0.43,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k6,6.0,False,300.0,29.0,0.0967,0.6767,0.701,0.7673,0.6767,0.701,0.7673,0.6767,0.6341,0.619,0.65,100.0,0.8585,0.8125,0.91,100.0,0.6104,0.8704,0.47,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k9,9.0,False,300.0,35.0,0.1167,0.6467,0.6733,0.7511,0.6467,0.6733,0.7511,0.6467,0.6263,0.6327,0.62,100.0,0.8203,0.7607,0.89,100.0,0.5733,0.86,0.43,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k1,1.0,False,300.0,0.0,0.0,0.7133,0.7087,0.7194,0.7133,0.7087,0.7194,0.7133,0.6996,0.6341,0.78,100.0,0.8137,0.7981,0.83,100.0,0.6127,0.726,0.53,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k3,3.0,False,300.0,0.0,0.0,0.6633,0.6586,0.6569,0.6633,0.6586,0.6569,0.6633,0.6122,0.625,0.6,100.0,0.7981,0.7522,0.85,100.0,0.5654,0.5934,0.54,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k6,6.0,False,300.0,11.0,0.0367,0.6967,0.7035,0.7221,0.6967,0.7035,0.7221,0.6967,0.6207,0.7297,0.54,100.0,0.8131,0.7632,0.87,100.0,0.6766,0.6733,0.68,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k9,9.0,False,300.0,25.0,0.0833,0.6933,0.7153,0.7595,0.6933,0.7153,0.7595,0.6933,0.6347,0.791,0.53,100.0,0.8165,0.7542,0.89,100.0,0.6947,0.7333,0.66,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ft,finetune_fixed,,False,300.0,0.0,0.0,0.61,0.5882,0.6033,0.61,0.5882,0.6033,0.61,0.4824,0.5857,0.41,100.0,0.757,0.6291,0.95,100.0,0.5251,0.5949,0.47,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k1,1.0,False,300.0,0.0,0.0,0.7333,0.7215,0.7745,0.7333,0.7215,0.7745,0.7333,0.7234,0.6296,0.85,100.0,0.8279,0.7739,0.89,100.0,0.6133,0.92,0.46,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k3,3.0,False,300.0,0.0,0.0,0.75,0.7324,0.8076,0.75,0.7324,0.8076,0.75,0.7459,0.6319,0.91,100.0,0.8638,0.8142,0.92,100.0,0.5874,0.9767,0.42,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k6,6.0,False,300.0,29.0,0.0967,0.7267,0.7553,0.8283,0.7267,0.7553,0.8283,0.7267,0.6995,0.6893,0.71,100.0,0.8826,0.8319,0.94,100.0,0.6839,0.9636,0.53,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k9,9.0,False,300.0,35.0,0.1167,0.6833,0.7139,0.81,0.6833,0.7139,0.81,0.6833,0.6733,0.6667,0.68,100.0,0.8426,0.7845,0.91,100.0,0.6259,0.9787,0.46,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k1,1.0,False,300.0,0.0,0.0,0.7233,0.7117,0.764,0.7233,0.7117,0.764,0.7233,0.7089,0.6131,0.84,100.0,0.8263,0.7788,0.88,100.0,0.6,0.9,0.45,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k3,3.0,False,300.0,0.0,0.0,0.75,0.738,0.7857,0.75,0.738,0.7857,0.75,0.7426,0.6423,0.88,100.0,0.8531,0.8108,0.9,100.0,0.6184,0.9038,0.47,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k6,6.0,False,300.0,11.0,0.0367,0.7667,0.7738,0.8172,0.7667,0.7738,0.8172,0.7667,0.7512,0.708,0.8,100.0,0.8704,0.8103,0.94,100.0,0.7,0.9333,0.56,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k9,9.0,False,300.0,25.0,0.0833,0.73,0.7563,0.8282,0.73,0.7563,0.8282,0.73,0.72,0.72,0.72,100.0,0.8311,0.7647,0.91,100.0,0.7179,1.0,0.56,100.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
,,project_specific,flutter_flutter,vtag,k1,1.0,False,300.0,0.0,0.0,0.58,0.5745,0.5863,0.58,0.5745,0.5863,0.58,0.6239,0.5448,0.73,100.0,0.5938,0.6196,0.57,100.0,0.5057,0.5946,0.44,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k1.csv,1.0
,,project_specific,flutter_flutter,vtag,k10,10.0,False,300.0,0.0,0.0,0.5633,0.5361,0.6241,0.5633,0.5361,0.6241,0.5633,0.6408,0.4946,0.91,100.0,0.5618,0.641,0.5,100.0,0.4058,0.7368,0.28,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k10.csv,10.0
,,project_specific,flutter_flutter,vtag,k11,11.0,False,300.0,0.0,0.0,0.5867,0.5631,0.6648,0.5867,0.5631,0.6648,0.5867,0.6479,0.5,0.92,100.0,0.6034,0.6835,0.54,100.0,0.438,0.8108,0.3,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k11.csv,11.0
,,project_specific,flutter_flutter,vtag,k12,12.0,False,300.0,0.0,0.0,0.57,0.5464,0.6572,0.57,0.5464,0.6572,0.57,0.637,0.4844,0.93,100.0,0.5529,0.6714,0.47,100.0,0.4493,0.8158,0.31,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k12.csv,12.0
,,project_specific,flutter_flutter,vtag,k13,13.0,False,300.0,0.0,0.0,0.56,0.5328,0.6387,0.56,0.5328,0.6387,0.56,0.637,0.4844,0.93,100.0,0.538,0.6479,0.46,100.0,0.4234,0.7838,0.29,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k13.csv,13.0
,,project_specific,flutter_flutter,vtag,k14,14.0,False,300.0,0.0,0.0,0.5667,0.537,0.6463,0.5667,0.537,0.6463,0.5667,0.6463,0.4897,0.95,100.0,0.5529,0.6714,0.47,100.0,0.4118,0.7778,0.28,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k14.csv,14.0
,,project_specific,flutter_flutter,vtag,k15,15.0,False,300.0,0.0,0.0,0.57,0.5416,0.6491,0.57,0.5416,0.6491,0.57,0.6485,0.4922,0.95,100.0,0.5529,0.6714,0.47,100.0,0.4234,0.7838,0.29,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k15.csv,15.0
,,project_specific,flutter_flutter,vtag,k16,16.0,False,300.0,0.0,0.0,0.56,0.5269,0.6512,0.56,0.5269,0.6512,0.56,0.6445,0.4826,0.97,100.0,0.5333,0.6769,0.44,100.0,0.403,0.7941,0.27,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k16.csv,16.0
,,project_specific,flutter_flutter,vtag,k17,17.0,False,300.0,0.0,0.0,0.5367,0.5003,0.624,0.5367,0.5003,0.624,0.5367,0.625,0.4657,0.95,100.0,0.5122,0.6562,0.42,100.0,0.3636,0.75,0.24,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k17.csv,17.0
,,project_specific,flutter_flutter,vtag,k18,18.0,False,300.0,0.0,0.0,0.5433,0.5048,0.6202,0.5433,0.5048,0.6202,0.5433,0.6358,0.4752,0.96,100.0,0.5301,0.6667,0.44,100.0,0.3485,0.7188,0.23,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k18.csv,18.0
,,project_specific,flutter_flutter,vtag,k19,19.0,False,300.0,0.0,0.0,0.55,0.5149,0.6464,0.55,0.5149,0.6464,0.55,0.6312,0.4726,0.95,100.0,0.5444,0.6667,0.46,100.0,0.3692,0.8,0.24,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k19.csv,19.0
,,project_specific,flutter_flutter,vtag,k2,2.0,False,300.0,0.0,0.0,0.58,0.5745,0.5863,0.58,0.5745,0.5863,0.58,0.6239,0.5448,0.73,100.0,0.5938,0.6196,0.57,100.0,0.5057,0.5946,0.44,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k2.csv,2.0
,,project_specific,flutter_flutter,vtag,k20,20.0,False,300.0,0.0,0.0,0.54,0.5029,0.6487,0.54,0.5029,0.6487,0.54,0.6214,0.4593,0.96,100.0,0.5309,0.6935,0.43,100.0,0.3566,0.7931,0.23,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k20.csv,20.0
,,project_specific,flutter_flutter,vtag,k25,25.0,False,300.0,0.0,0.0,0.5233,0.4801,0.6338,0.5233,0.4801,0.6338,0.5233,0.6159,0.4512,0.97,100.0,0.4937,0.6724,0.39,100.0,0.3307,0.7778,0.21,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k25.csv,25.0
,,project_specific,flutter_flutter,vtag,k3,3.0,False,300.0,0.0,0.0,0.58,0.5683,0.5966,0.58,0.5683,0.5966,0.58,0.6429,0.5329,0.81,100.0,0.5806,0.6279,0.54,100.0,0.4815,0.629,0.39,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k3.csv,3.0
,,project_specific,flutter_flutter,vtag,k30,30.0,False,300.0,0.0,0.0,0.51,0.4559,0.6348,0.51,0.4559,0.6348,0.51,0.6106,0.4434,0.98,100.0,0.4906,0.661,0.39,100.0,0.2667,0.8,0.16,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k30.csv,30.0
,,project_specific,flutter_flutter,vtag,k4,4.0,False,300.0,0.0,0.0,0.5767,0.5648,0.6038,0.5767,0.5648,0.6038,0.5767,0.6328,0.5192,0.81,100.0,0.5745,0.6136,0.54,100.0,0.4872,0.6786,0.38,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k4.csv,4.0
,,project_specific,flutter_flutter,vtag,k5,5.0,False,300.0,0.0,0.0,0.5933,0.58,0.6346,0.5933,0.58,0.6346,0.5933,0.6566,0.5273,0.87,100.0,0.5604,0.622,0.51,100.0,0.5229,0.7547,0.4,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k5.csv,5.0
,,project_specific,flutter_flutter,vtag,k6,6.0,False,300.0,0.0,0.0,0.5667,0.5458,0.6039,0.5667,0.5458,0.6039,0.5667,0.6471,0.5116,0.88,100.0,0.5444,0.6125,0.49,100.0,0.4459,0.6875,0.33,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k6.csv,6.0
,,project_specific,flutter_flutter,vtag,k7,7.0,False,300.0,0.0,0.0,0.5867,0.5675,0.64,0.5867,0.5675,0.64,0.5867,0.6593,0.5202,0.9,100.0,0.5604,0.622,0.51,100.0,0.4828,0.7778,0.35,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k7.csv,7.0
,,project_specific,flutter_flutter,vtag,k8,8.0,False,300.0,0.0,0.0,0.57,0.5476,0.6147,0.57,0.5476,0.6147,0.57,0.652,0.5145,0.89,100.0,0.5464,0.6024,0.5,100.0,0.4444,0.7273,0.32,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k8.csv,8.0
,,project_specific,flutter_flutter,vtag,k9,9.0,False,300.0,0.0,0.0,0.5733,0.5499,0.6252,0.5733,0.5499,0.6252,0.5733,0.6547,0.5112,0.91,100.0,0.5475,0.6203,0.49,100.0,0.4476,0.7442,0.32,100.0,results/issues11k/project_specific/flutter_flutter/vtag/evaluations/eval_k9.csv,9.0
,,project_specific,flutter_flutter,vtag_debias,k1,1.0,False,300.0,0.0,0.0,0.58,0.5745,0.5863,0.58,0.5745,0.5863,0.58,0.6239,0.5448,0.73,100.0,0.5938,0.6196,0.57,100.0,0.5057,0.5946,0.44,100.0,results/issues11k/project_specific/flutter_flutter/vtag_debias_m3/evaluations/eval_k1.csv,1.0
,,project_specific,flutter_flutter,vtag_debias,k3,3.0,False,300.0,0.0,0.0,0.5833,0.5821,0.604,0.5833,0.5821,0.604,0.5833,0.5697,0.7231,0.47,100.0,0.6119,0.563,0.67,100.0,0.5648,0.5259,0.61,100.0,results/issues11k/project_specific/flutter_flutter/vtag_debias_m3/evaluations/eval_k3.csv,3.0
,,project_specific,flutter_flutter,vtag_debias,k6,6.0,False,300.0,0.0,0.0,0.6033,0.6042,0.6075,0.6033,0.6042,0.6075,0.6033,0.6455,0.6854,0.61,100.0,0.6,0.5727,0.63,100.0,0.5672,0.5644,0.57,100.0,results/issues11k/project_specific/flutter_flutter/vtag_debias_m3/evaluations/eval_k6.csv,6.0
,,project_specific,flutter_flutter,vtag_debias,k9,9.0,False,300.0,0.0,0.0,0.6167,0.614,0.6187,0.6167,0.614,0.6187,0.6167,0.6758,0.6218,0.74,100.0,0.5729,0.5758,0.57,100.0,0.5934,0.6585,0.54,100.0,results/issues11k/project_specific/flutter_flutter/vtag_debias_m3/evaluations/eval_k9.csv,9.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,kubernetes_kubernetes,ft,finetune_fixed,,False,300.0,0.0,0.0,0.73,0.7268,0.7368,0.73,0.7268,0.7368,0.73,0.6637,0.6016,0.74,100.0,0.9109,0.902,0.92,100.0,0.6057,0.7067,0.53,100.0,results/issues11k/project_specific/kubernetes_kubernetes/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,kubernetes_kubernetes,ragtag,k1,1.0,False,300.0,0.0,0.0,0.7933,0.7864,0.8225,0.7933,0.7864,0.8225,0.7933,0.7478,0.6615,0.86,100.0,0.9194,0.8739,0.97,100.0,0.6918,0.9322,0.55,100.0,results/issues11k/project_specific/kubernetes_kubernetes/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,kubernetes_kubernetes,ragtag,k3,3.0,False,300.0,1.0,0.0033,0.8333,0.8333,0.85,0.8333,0.8333,0.85,0.8333,0.7818,0.7167,0.86,100.0,0.9366,0.9143,0.96,100.0,0.7816,0.9189,0.68,100.0,results/issues11k/project_specific/kubernetes_kubernetes/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,kubernetes_kubernetes,ragtag,k6,6.0,False,300.0,16.0,0.0533,0.8033,0.8197,0.856,0.8033,0.8197,0.856,0.8033,0.7962,0.7568,0.84,100.0,0.9366,0.9143,0.96,100.0,0.7262,0.8971,0.61,100.0,results/issues11k/project_specific/kubernetes_kubernetes/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,kubernetes_kubernetes,ragtag,k9,9.0,False,300.0,21.0,0.07,0.8,0.8244,0.8666,0.8,0.8244,0.8666,0.8,0.8169,0.7699,0.87,100.0,0.9388,0.9583,0.92,100.0,0.7176,0.8714,0.61,100.0,results/issues11k/project_specific/kubernetes_kubernetes/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
