model,model_tag,setting,project,approach,k_label,k,cost_path
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ft,finetune_fixed,,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ft,finetune_fixed,,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,dotnet_roslyn,ragtag_debias,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k10,10.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k11,11.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k12,12.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k13,13.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k14,14.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k15,15.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k16,16.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k17,17.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k18,18.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k19,19.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k2,2.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k20,20.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k25,25.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k30,30.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k4,4.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k5,5.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k7,7.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k8,8.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/vtag/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag_debias,k1,1.0,results/issues11k/project_specific/dotnet_roslyn/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag_debias,k3,3.0,results/issues11k/project_specific/dotnet_roslyn/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag_debias,k6,6.0,results/issues11k/project_specific/dotnet_roslyn/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,dotnet_roslyn,vtag_debias,k9,9.0,results/issues11k/project_specific/dotnet_roslyn/vtag_debias_m3/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ft,finetune_fixed,,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ft,finetune_fixed,,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,zero_shot,0.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ft,finetune_fixed,,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ft,finetune_fixed,,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k1,1.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k3,3.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k6,6.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,facebook_react,ragtag_debias,k9,9.0,results/issues11k/project_specific/facebook_react/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k1,1.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k10,10.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k11,11.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k12,12.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k13,13.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k14,14.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k15,15.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k16,16.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k17,17.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k18,18.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k19,19.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k2,2.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k20,20.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k25,25.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k3,3.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k30,30.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k4,4.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k5,5.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k6,6.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k7,7.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k8,8.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag,k9,9.0,results/issues11k/project_specific/facebook_react/vtag/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag_debias,k1,1.0,results/issues11k/project_specific/facebook_react/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag_debias,k3,3.0,results/issues11k/project_specific/facebook_react/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag_debias,k6,6.0,results/issues11k/project_specific/facebook_react/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,facebook_react,vtag_debias,k9,9.0,results/issues11k/project_specific/facebook_react/vtag_debias_m3/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ft,finetune_fixed,,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k1,1.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k3,3.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k6,6.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k9,9.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k1,1.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k3,3.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k6,6.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k9,9.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ft,finetune_fixed,,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k1,1.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k3,3.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k6,6.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k9,9.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k1,1.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k3,3.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k6,6.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag_debias,k9,9.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/cost_metrics.csv
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,zero_shot,0.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ft,finetune_fixed,,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k1,1.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k3,3.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k6,6.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,flutter_flutter,ragtag,k9,9.0,results/issues11k/project_specific/flutter_flutter/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
